video_id,model_name,technique_name,rag_enabled,pred_count,true_positives,false_positives,gt_count,json_valid,pred_total_kcal,gt_total_kcal
C0suZXkxaBG,Gemma-SEA-LION v4 4B,few-shot,false,9,144,0,16,true,881.0,11451.59998369217
C0suZXkxaBG,Gemma-SEA-LION v4 4B,structured-output,false,10,160,0,16,true,578.7,12723.999981880188
C0suZXkxaBG,Llama 3.2 3B Instruct,few-shot,false,11,176,0,16,true,1650.0,13996.399980068207
C0suZXkxaBG,Llama 3.2 3B Instruct,structured-output,false,12,192,0,16,true,643.7,15268.799978256226
C0suZXkxaBG,Llama 3.2 3B Instruct,zero-shot,false,14,224,0,16,true,1250.0,17813.599974632263
C0suZXkxaBG,MedGemma 4B,few-shot,false,11,176,0,16,true,2270.0,13996.399980068207
C0suZXkxaBG,MedGemma 4B,structured-output,false,10,160,0,16,true,1238.5,12723.999981880188
C0suZXkxaBG,MedGemma 4B,zero-shot,false,7,112,0,16,true,543.2,8906.799987316132
C0suZXkxaBG,Phi-4-mini 3.8B Instruct,few-shot,false,8,128,0,16,true,454.0,10179.19998550415
C0suZXkxaBG,Phi-4-mini 3.8B Instruct,structured-output,false,11,176,0,16,true,948.0,13996.399980068207
C0suZXkxaBG,Phi-4-mini 3.8B Instruct,zero-shot,false,10,160,0,16,true,492.1,12723.999981880188
C0suZXkxaBG,Qwen 2.5 3B Instruct,few-shot,false,11,176,0,16,true,1234.0,13996.399980068207
C0suZXkxaBG,Qwen 2.5 3B Instruct,structured-output,false,10,160,0,16,true,1044.0,12723.999981880188
C0suZXkxaBG,Qwen 2.5 3B Instruct,zero-shot,false,16,256,0,16,true,1318.0,20358.3999710083
C3tobkQJ2nA,Gemma-SEA-LION v4 4B,chain-of-thought,false,4,24,0,6,true,1200.0,7490.800109863281
C3tobkQJ2nA,Gemma-SEA-LION v4 4B,few-shot,false,6,36,0,6,true,1783.0,11236.200164794922
C3tobkQJ2nA,Gemma-SEA-LION v4 4B,zero-shot,false,5,30,0,6,true,3455.5,9363.500137329102
C3tobkQJ2nA,Llama 3.2 3B Instruct,chain-of-thought,false,5,30,0,6,true,3046.0,9363.500137329102
C3tobkQJ2nA,Llama 3.2 3B Instruct,few-shot,false,5,30,0,6,true,1678.0,9363.500137329102
C3tobkQJ2nA,Llama 3.2 3B Instruct,structured-output,false,6,36,0,6,true,2300.0,11236.200164794922
C3tobkQJ2nA,Llama 3.2 3B Instruct,zero-shot,false,6,36,0,6,true,0.0,11236.200164794922
C3tobkQJ2nA,MedGemma 4B,chain-of-thought,false,2,12,0,6,true,1636.0,3745.4000549316406
C3tobkQJ2nA,MedGemma 4B,few-shot,false,5,30,0,6,true,4450.0,9363.500137329102
C3tobkQJ2nA,MedGemma 4B,structured-output,false,5,30,0,6,true,994.0,9363.500137329102
C3tobkQJ2nA,MedGemma 4B,zero-shot,false,5,30,0,6,true,1526.4,9363.500137329102
C3tobkQJ2nA,Phi-4-mini 3.8B Instruct,few-shot,false,5,30,0,6,true,1418.0,9363.500137329102
C3tobkQJ2nA,Phi-4-mini 3.8B Instruct,structured-output,false,5,30,0,6,true,1687.3,9363.500137329102
C3tobkQJ2nA,Phi-4-mini 3.8B Instruct,zero-shot,false,5,30,0,6,true,395.0,9363.500137329102
C3tobkQJ2nA,Qwen 2.5 3B Instruct,few-shot,false,5,30,0,6,true,1226.5,9363.500137329102
C3tobkQJ2nA,Qwen 2.5 3B Instruct,zero-shot,false,5,30,0,6,true,2545.0,9363.500137329102
C67f7RfyFAV,Gemma-SEA-LION v4 4B,chain-of-thought,false,1,10,0,10,true,414.0,1007.3000030517578
C67f7RfyFAV,Gemma-SEA-LION v4 4B,few-shot,false,9,90,0,10,true,1923.0,9065.70002746582
