experiment_id,video_id,model_name,technique_name,rag_enabled,gt_total_calories,gt_total_protein_g,gt_total_fat_g,gt_total_carbohydrate_g,pred_total_calories,pred_total_protein_g,pred_total_fat_g,pred_total_carbohydrate_g
1,DHKfyyITTE8,Llama 3.2 3B Instruct,zero-shot,false,426.5999984741211,21.299999929964542,5.399999961256981,83.00000047683716,386.1,26.2,3.2,68.5
2,DHm89ozTqeU,Llama 3.2 3B Instruct,zero-shot,false,899.3999938964844,10.100000098347664,49.70000076293945,103.0,147.5,6.1,14.4,32.1
3,DF4Fc8TTel4,Llama 3.2 3B Instruct,zero-shot,false,3756.5999908447266,65.60000014305115,132.50000009685755,575.4000059366226,5070.0,51.0,215.2,827.0
4,DDQnLI_zd75,Llama 3.2 3B Instruct,zero-shot,false,495.0,14.699999809265137,3.2000000029802322,100.5,195.5,6.6,3.4,41.4
5,DCIwgyWvR4-,Llama 3.2 3B Instruct,zero-shot,false,603.0,13.0,19.19999995827675,95.80000019073486,564.5,13.0,32.3,75.8
6,C_9nDkNOgWS,Llama 3.2 3B Instruct,zero-shot,false,1459.3000030517578,58.80000014603138,108.89999988675117,64.30000069737434,3502.0,77.2,318.4,80.0
7,C8f7YMXS75g,Llama 3.2 3B Instruct,zero-shot,false,181.0,6.100000023841858,1.100000023841858,37.60000038146973,559.8,1.6,62.3,11.1
8,C7kt-JZyx8J,Llama 3.2 3B Instruct,zero-shot,false,1994.200002670288,211.70000310987234,105.00000002980232,39.899999886751175,175.1,38.9,10.5,140.9
9,C7F03BqSAng,Llama 3.2 3B Instruct,zero-shot,false,2920.5,32.49999989569187,130.40000016987324,409.1000001206994,1895.0,17.6,86.9,264.9
10,C6uo2tySRev,Llama 3.2 3B Instruct,zero-shot,false,2398.800048828125,70.30000084638596,92.59999771416187,338.90000009536743,650.0,7.8,25.6,122.5
11,DWArADckv2A,Llama 3.2 3B Instruct,zero-shot,false,890.6000003814697,13.099999956786633,43.60000079870224,110.0999984741211,438.4,10.8,24.8,71.5
12,DV5BZafjOq4,Llama 3.2 3B Instruct,zero-shot,false,1679.6000061035156,19.600000143051147,90.90000000596046,201.0,3327.1,30.7,203.4,343.7
13,DV2cZqiGRUl,Llama 3.2 3B Instruct,zero-shot,false,1155.7999992370605,83.39999967813492,26.799999706447124,146.29999995231628,600.0,51.0,28.0,76.0
14,DVxWajnjfAI,Llama 3.2 3B Instruct,zero-shot,false,3625.299991607666,288.00000013411045,189.89999974519014,183.70000061392784,194.7,401.7,8.0,42.7
15,DVU9gqREi88,Llama 3.2 3B Instruct,zero-shot,false,1806.999994635582,109.89999954402447,96.1999998241663,122.60000319778919,1333.0,61.1,91.4,69.5
16,DWDOV3Ukq2t,Llama 3.2 3B Instruct,zero-shot,false,2214.800018310547,73.29999923706055,88.70000076293945,329.89999923855066,3217.4,18.5,139.1,565.7
17,DVxNpsVgbBG,Llama 3.2 3B Instruct,zero-shot,false,3269.3999938964844,335.6000060364604,179.8999977260828,62.20000076293945,1041.6,69.1,95.0,33.1
18,DVutKvujazg,Llama 3.2 3B Instruct,zero-shot,false,3049.4000358581543,72.69999894499779,141.69999827444553,379.6000030040741,11228.1,27.0,57.0,199.2
19,DVphyIijuJ_,Llama 3.2 3B Instruct,zero-shot,false,4010.5999908447266,70.00000047683716,288.2999999523163,285.8999999538064,3045.0,50.1,227.6,229.1
20,DVkdLI3FtfP,Llama 3.2 3B Instruct,zero-shot,false,1285.5999994277954,76.10000040382147,38.000000201165676,174.10000002384186,793.5,30.0,63.9,51.0
21,DSuE2wWEfXr,Llama 3.2 3B Instruct,zero-shot,false,1342.1999969482422,39.00000001490116,93.5999996215105,94.80000001192093,2112.0,38.0,111.0,152.0
22,DIxmuuyz0sC,Llama 3.2 3B Instruct,zero-shot,false,2129.9000245034695,89.30000030249357,145.7000016272068,117.19999940693378,3719.7,139.6,224.5,44.9
23,DE13y7pT_jx,Llama 3.2 3B Instruct,zero-shot,false,4031.7000007629395,61.20000046491623,299.2000004798174,288.7999999523163,11574.6,84.2,1042.9,593.8
24,C67f7RfyFAV,Llama 3.2 3B Instruct,zero-shot,false,1007.3000030517578,24.400000385940075,43.00000125169754,126.90000003576279,451.0,9.7,22.0,63.8
25,C6I4GVsLgnf,Llama 3.2 3B Instruct,zero-shot,false,477.3000030517578,14.100000001490116,23.300000190734863,53.89999961853027,2885.4,76.9,155.8,325.8
26,C3tobkQJ2nA,Llama 3.2 3B Instruct,zero-shot,false,1872.7000274658203,58.30000019073486,79.4000015258789,234.89999985694885,0.0,0.0,0.0,0.0
27,C0suZXkxaBG,Llama 3.2 3B Instruct,zero-shot,false,1272.3999981880188,40.59999945014715,84.70000144094229,94.4999982714653,1250.0,24.0,88.3,109.6
